# name,lat,lon - place nodes from OpenStreetMap, Greater Melbourne bbox
East Melbourne,-37.8125,144.9859
East Warburton,-37.7442,145.7375
Eden Park,-37.495,145.0716
Edithvale,-38.0376,145.1149
Elsternwick,-37.8858,145.007
Eltham,-37.7175,145.1602
Eltham North,-37.6979,145.1418
Elwood,-37.8789,144.9855
Emerald,-37.9321,145.4407
Endeavour Hills,-37.9703,145.2563
Epping,-37.6391,145.0266
Essendon,-37.7498,144.9109
Essendon Fields,-37.7269,144.9004
Essendon North,-37.7385,144.9012
Essendon West,-37.7528,144.8846
Eumemmerring,-37.9985,145.2469
Exford,-37.7301,144.5434
Eynesbury,-37.7908,144.5562
Fairfield,-37.7845,145.0158
Fawkner,-37.7052,144.9696
Fenwick,-38.2407,144.502
Ferntree Gully,-37.8841,145.2817
Ferny Creek,-37.8797,145.3316
Fielder,-37.9463,145.5057
Fieldstone,-37.7499,144.6483
Fingal,-38.4151,144.8511
Fishermans Bend,-37.8246,144.9229
Fitzroy,-37.801,144.9793
Fitzroy North,-37.7833,144.9837
Flemington,-37.7868,144.9194
Flinders,-38.4733,145.0187
Footscray,-37.7981,144.8973
Forest Hill,-37.8363,145.1691
Fountain Gate,-38.02,145.3029
Frankston,-38.1457,145.1264
Frankston North,-38.1229,145.161
Frankston South,-38.1765,145.1296
Fraser Rise,-37.706,144.7174
Fyansford,-38.1417,144.3097
Garden City,-37.8375,144.92
Gardenvale,-37.8981,145.0092
Garfield,-38.0899,145.6762
Geelong,-38.1493,144.3598
Geelong West,-38.1393,144.345
Gembrook,-37.9528,145.5503
Gilderoy,-37.8547,145.7128
Gisborne,-37.4867,144.5904
Gisborne South,-37.5457,144.6199
Gladstone Park,-37.6898,144.8945
Gladysdale,-37.8198,145.6515
Glen Alvie,-38.5166,145.6627
Glen Forbes,-38.4592,145.5442
Glen Huntly,-37.8924,145.0414
Glen Iris,-37.8558,145.0646
Glen Waverley,-37.8816,145.1682
Glenferrie,-37.8212,145.0349
Glenroy,-37.7028,144.9275
Golden Point,-37.4727,144.3196
Goonawarra,-37.5726,144.7537
Gowanbrae,-37.7027,144.8976
Grangefields,-37.7,144.6351
Granton,-37.5315,145.6965
Grantville,-38.4074,145.5319
Greek Precinct,-37.811,144.9666
Greensborough,-37.6988,145.1074
Greenvale,-37.6377,144.8811
Greythorn,-37.7909,145.0957
Grovedale,-38.2022,144.3313
Gruyere,-37.7342,145.4502
Guys Hill,-38.0141,145.3925
HMAS Cerberus,-38.3828,145.1944
Hadfield,-37.7102,144.9503
Hallam,-38.0075,145.2689
Hamlyn Heights,-38.1211,144.324
Hampton,-37.9377,145.0087
Hampton East,-37.9385,145.0307
Hampton Park,-38.0367,145.259
Harkaway,-38.0003,145.3417
Harkness,-37.6568,144.5525
Hastings,-38.3077,145.1905
Hawthorn,-37.8244,145.0317
Hawthorn East,-37.8314,145.05
Healesville,-37.6537,145.5162
Heath Hill,-38.2415,145.705
Heatherton,-37.9561,145.0932
Heathmont,-37.8288,145.2459
Heidelberg,-37.7525,145.0701
Heidelberg Heights,-37.7452,145.0529
Heidelberg West,-37.7382,145.0434
Hermsley,-38.1642,144.5101
Herne Hill,-38.1342,144.3245
Highett,-37.9504,145.0398
Highton,-38.1709,144.319
Hillside,-37.6905,144.7417
Hoddles Creek,-37.8418,145.5931
Holmesglen,-37.8745,145.0915
Hopetoun Park,-37.695,144.5016
Hoppers Crossing,-37.8666,144.695
Hovell Park,-38.0518,144.4026
Hughesdale,-37.8995,145.0812
Humevale,-37.4979,145.1802
Huntingdale,-37.9077,145.1085
Hurstbridge,-37.6376,145.1943
Indented Head,-38.1397,144.7095
Ivanhoe,-37.769,145.0431
Ivanhoe East,-37.7734,145.0618
Jacana,-37.6877,144.9112
Jam Jerrup,-38.3235,145.5181
Jindivick,-38.0271,145.8993
Jolimont,-37.8167,144.9844
Jordanville,-37.8745,145.1098
Jumbunna,-38.4676,145.7748
Junction Village,-38.1363,145.2969
Kalkallo,-37.531,144.9497
Kallista,-37.8858,145.3729
Kalorama,-37.8178,145.3667
Kananook,-38.1206,145.1306
Kangaroo Ground,-37.6919,145.2159
Karingal,-38.1432,145.1526
Kealba,-37.7371,144.8283
Keilor,-37.7114,144.8251
Keilor Downs,-37.7206,144.8048
Keilor East,-37.7393,144.8592
Keilor Lodge,-37.6984,144.7998
Keilor North,-37.6816,144.793
Keilor Park,-37.7187,144.8502
Kensington,-37.7944,144.927
Kernot,-38.4275,145.598
Kerrimuir,-37.8057,145.1372
Kew,-37.8034,145.0333
Kew East,-37.7904,145.0528
Keysborough,-38.0054,145.1674
Kilcunda,-38.5492,145.4764
Kilsyth,-37.8038,145.3135
Kilsyth South,-37.8315,145.311
Kinglake,-37.5327,145.3411
Kinglake Central,-37.4692,145.3251
Kinglake West,-37.4736,145.2656
Kings Park,-37.7337,144.772
Kingsbury,-37.7156,145.0356
Kingsville,-37.8089,144.8794
Knoxfield,-37.8898,145.2496
Kongwak,-38.5154,145.7123
Koo Wee Rup,-38.1991,145.4929
Koo Wee Rup North,-38.1612,145.5401
Koonwarra,-38.5471,145.9423
Kooyong,-37.8414,145.0358
Koreatown,-37.8135,144.9558
Korumburra,-38.4322,145.8236
Kurunjang,-37.6627,144.5914
Laburnum,-37.8209,145.1414
Lalor,-37.6629,145.004
Lang Lang,-38.266,145.5628
Langwarrin,-38.1546,145.1974
Langwarrin South,-38.1891,145.1911
Lara,-38.0235,144.4088
Launching Place,-37.7807,145.5692
Laurimar,-37.5883,145.1285
Laverton,-37.8594,144.7671
