# name,lat,lon,kind,setting,parking_m,parking_type,neighbours_60m
Breadtop,-37.9587,145.0553,bakery,MALL,81,multi-storey,10
Brewed Tea,-37.9499,145.1512,cafe,STRIP,10,surface,21
Bridge Bar,-38.01,145.0882,bar,STANDALONE_PARKING,47,surface,3
Bridge Hotel,-38.0098,145.0881,pub,STANDALONE_PARKING,67,surface,4
Brioche By Philip,-37.9586,145.0553,bakery,MALL,73,multi-storey,8
Brown Rice,-38.0374,145.1075,restaurant,STANDALONE,142,surface,3
Bryons Milk Bar,-37.972,145.1909,convenience,STANDALONE,439,street_side,0
Bubbly Beans,-38.0529,145.1159,cafe,STANDALONE_PARKING,70,surface,5
Busy Burgers,-37.9827,145.0647,fast_food,STRIP,111,surface,13
Bún Bò Huế Hương Giang,-37.9521,145.1516,restaurant,STRIP,21,street_side,20
Bún Bò Huế Sông Hương,-37.9498,145.1524,restaurant,STRIP,13,surface,6
Bún Ngon,-37.9517,145.1512,restaurant,MALL,35,street_side,21
C.J. Spices & Videos,-37.9853,145.2137,supermarket,STRIP,39,surface,7
CW Cakes,-37.988,145.2172,bakery,STANDALONE_PARKING,42,surface,1
CWB,-37.9436,145.1412,butcher,STANDALONE,298,surface,0
Cafe Asmara,-37.9475,145.1527,cafe,STANDALONE_PARKING,15,surface,2
Cafe Bordeaux,-37.9793,145.0533,cafe,STRIP,45,surface,6
Cafe Galiano,-37.9586,145.055,cafe,MALL,95,multi-storey,8
Cafe In D'Imand,-37.9658,145.0558,cafe,STRIP,72,street_side,8
Cafe Keys,-38.0125,145.1827,cafe,STANDALONE,310,surface,0
Cafe Leads,-37.9849,145.2122,cafe,STRIP,65,surface,9
Cafe Opera,-38.0532,145.1161,cafe,STRIP,65,surface,7
Cafe Phố,-37.9505,145.1517,cafe,STRIP,8,surface,24
Cafe Providore,-38.0547,145.1165,cafe,MALL,40,surface,9
Cafe Takeaway,-37.9581,145.164,cafe,STANDALONE,94,surface,0
Cafe Zero,-37.9827,145.0651,restaurant,STRIP,91,surface,9
Cafe on Alex,-37.9384,145.0709,fast_food,STANDALONE,268,surface,0
Cafe twist,-38.005,145.2182,cafe,STANDALONE_PARKING,26,surface,1
Caffetteria 295,-37.936,145.0612,cafe,STRIP,13,street_side,9
